# Directional BHSA apposition: head -> appositive (candidate IS-A / narrowing evidence). See build_hierarchy_relations.py.
head_strong	appositive_strong	count
H1285	H1697	1
H6944	H7676	1
H6944	H7677	1
H4908	H5715	1
H8333	H4639	1
H8333	H5688	1
H1383	H4639	1
H1383	H5688	1
H4908	H0168	1
H4908	H3605	1
H4908	H3627	1
H6731	H5145	1
H6731	H6944	1
H2091	H5145	1
H2091	H6944	1
H0352	H4394	1
H8145	H0352	1
H8145	H4394	1
H0259	H1323	1
H0259	H8141	1
H0899	H6944	1
H0905	H0899	1
H0905	H6944	1
H0001	H4138	1
H0899	H8162	1
H3610	H8162	1
H7607	H0517	1
H7607	H0001	1
H7607	H1121	1
H7607	H1323	1
H7607	H0251	1
H0269	H1330	1
H0801	H3899	1
H0801	H0430	1
H2491	H2181	1
H2233	H3548	1
H7676	H4744	1
H7676	H6944	1
H4283	H3117	1
H7676	H3117	1
H7677	H2146	1
H7677	H8643	1
H6529	H3712	1
H6529	H8559	1
H6529	H6057	1
H6529	H6086	1
H6529	H5687	1
H6529	H6160	1
H6529	H5158	1
H6086	H3712	1
H6086	H8559	1
H6086	H6057	1
H6086	H5687	1
H6086	H6160	1
H6086	H5158	1
H1926	H3712	1
H1926	H8559	1
H1926	H6057	1
H1926	H6086	1
H1926	H5687	1
H1926	H6160	1
H1926	H5158	1
H1616	H8453	1
H7121	H5387	1
H7121	H4294	1
H7121	H0001	1
H5713	H5387	1
H5713	H4294	1
H5713	H0001	1
H8034	H3548	1
H8034	H4886	1
H1121	H4886	1
H1060	H6363	1
H1060	H7358	1
H5387	H1004	1
H8145	H1121	1
H8145	H1241	1
H8478	H1060	1
H8478	H3605	1
H6363	H1060	1
H6363	H3605	1
H3605	H1060	1
H7358	H1060	1
H7358	H3605	1
H5387	H0505	1
H6956	H5375	1
H6956	H4720	1
H1121	H4084	1
H0376	H5387	1
H0376	H5713	1
H5387	H7148	1
H5387	H4150	1
H5713	H7148	1
H5713	H4150	1
H7148	H0376	1
H7148	H8034	1
H4150	H0376	1
H4150	H8034	1
H0413	H7307	1
H0251	H4294	1
H4294	H7626	1
H5892	H3605	1
H5892	H1323	1
H0567	H3605	1
H0567	H1323	1
H8147	H0376	1
H5387	H0269	1
H7651	H1121	1
H6485	H0505	1
H6485	H3967	1
H2428	H0505	1
H2428	H3967	1
H4455	H3499	1
H4455	H0957	1
H4275	H2506	1
H1115	H1121	1
H5159	H0251	1
H0376	H1755	1
H0376	H7451	1
H2108	H1121	1
H1755	H0376	1
H1755	H4421	1
H2256	H4467	1
H5892	H4467	1
H4334	H5892	1
H4334	H4467	1
H8544	H8403	1
H8544	H2145	1
H8544	H5347	1
H3605	H8403	1
H3605	H2145	1
H3605	H5347	1
H5566	H8403	1
H5566	H2145	1
H5566	H5347	1
H8121	H3605	1
H8121	H6635	1
H8121	H8064	1
H3394	H3605	1
H3394	H6635	1
H3394	H8064	1
H3556	H3605	1
H3556	H6635	1
H3556	H8064	1
H0430	H4639	1
H0430	H3027	1
H0430	H0120	1
H0430	H0539	1
H0776	H5158	1
H0776	H4325	1
H2896	H5158	1
H2896	H4325	1
H0776	H5869	1
H0776	H8415	1
H5158	H5869	1
H5158	H8415	1
H4325	H5869	1
H4325	H8415	1
H0776	H2132	1
H0776	H8081	1
H2406	H0776	1
H2406	H2132	1
H2406	H8081	1
H2406	H1706	1
H8184	H0776	1
H8184	H2132	1
H8184	H8081	1
H8184	H1706	1
H1612	H0776	1
H1612	H2132	1
H1612	H8081	1
H1612	H1706	1
H8384	H0776	1
H8384	H2132	1
H8384	H8081	1
H8384	H1706	1
H7416	H0776	1
H7416	H2132	1
H7416	H8081	1
H7416	H1706	1
H1419	H1121	1
H7311	H1121	1
H8147	H3871	1
H8147	H1285	1
H5869	H0430	1
H5930	H1320	1
H5930	H1818	1
H1697	H1100	1
H8141	H8059	1
H7651	H8059	1
H4682	H3899	1
H4682	H6040	1
H7130	H0259	1
H7130	H8179	1
H3548	H3605	1
H3548	H7626	1
H3878	H3605	1
H3878	H7626	1
H5483	H5971	1
H7393	H5971	1
H0802	H3605	1
H0802	H7998	1
H2945	H3605	1
